text,label
meyilli,meyilli
Qarabağ,Qarabağ
tapir,tapır
oğlanları,oğlanları
narahatlıq,narahatlıq
əritmə,əritmə
deyimki,deyim ki
ikidənə,iki dənə
dünyalar,dünyalar
istedi,istədi
guvensizlik,güvənsizlik
serbest,sərbəst
Muellimesi,müəlliməsi
qohumluq,qohumluq
qoymusam,qoymuşam
düsüb,düşüb
tecrubeni,təcrübəni
çəkəcəm,çəkəcəm
Quluyev,Quliyev
esitmirler,eşitmirlər
agladi,agladı
bənzər,bənzər
menen,mənimlə
birisinə,birisinə
girəndən,girəndən
beridir,bəridir
oldularki,oldular ki
razilawdiq,razılaşdıq
fantastik,fantastik
yaşı,yaşı
təcrübələrindən,təcrübələrindən
nədədir,nədədir
danişirdim,danışırdım
təsdiqləyər,təsdiqləyər
Kağıza,kağıza
xoşum,xoşum
aparırsız,aparırsız
elədiyini,elədiyini
barmağında,barmağında
edəsən,edəssən
lağ-lağı,lağ-lağı
empatiya,empatiya
passat,passat
işlədiyim,işlədiyim
Naxçıvana,Naxçıvana
zurna,zurna
olmayan,olmayan
başqa,başqa
olunanda,olunanda
gelib,gəlib
problemlerim,problemlərim
gözəlliyidir,gözəlliyidir
ünsiyyətdə,ünsiyyətdə
edibki,edib ki
edilmiş,edilmiş
bölüşsəm,bölüşsəm
səfərindədə,səfərində də
yazmasın,yazmasın
1998-2004,1998-2004
gotururdum,götürürdüm
dözersən,dözərsən
tapacam,tapacam
odemisem,odəmişəm
barışmayacağı,barışmayacağı
kovrek,kövrək
etmeliyemki,etməliyəmki
dönməlidir,dönməlidir
deməkdi,deməkdi
gəlsinlər,gəlsinlər
1ay,1 ay
qurub,qurub
boyutmemisik,böyütməmişik
gorusek,görüşək
yaşadan,yaşadan
Cunki,çünki
çıxmıyacam,çıxmayacam
dözer,dözər
gəlməyi,gəlməyi
axtarsım,axtardım
görməsini,görməsini
bankası,bankası
ozun,özün
derece,dərəcə
Pulu,pulu
Bakirəliyimi,bakirəliyimi
əzizdi,əzizdi
valideyinin,valideyinin
dərəcədə,dərəcədə
Ölkəyə,ölkəyə
ol,ol
bundan,bundan
gulur,gülür
2014-2015,2014-2015
avtovagzala,avtovagzala
Məhkəmənin,məhkəmənin
toplayarkən,toplayarkən
ayrilandan,ayrılandan
qədəri,qədəri
Düşüncə,düşüncə
dizel,dizel
guc,güc
nəbilm,nəbilim
müəlifin,müəlifin
sifarisi,sifarişi
yumağa,yumağa
paylassaydınız,paylaşsaydınız
ozune,özünə
alverçi,alverçi
nefes,nəfəs
baglatdira,bağlatdıra
kecici,keçici
sizlə,sizlə
düşündürən,düşündürən
mismarlanıb,mismarlanıb
tereflerini,tərəflərini
başıaşağı,başı aşağı
bürcün,bürcün
Əsədovun,Əsədovun
göstəricisidi,göstəricisidi
Xanbala,Xanbala
əlaqəni,əlaqəni
vəsiqəsi,vəsiqəsi
Ogündə,o gün də
goruşub,göruşub
ərim,ərim
keçmək,keçmək
profillirinə,profillərinə
İli,ili
Sağa,sağa
əsəblərim,əsəblərim
geden,gedən
verərdiniz,verərdiniz
it,it
proyektlə,proyektlə
yanı,yanı
baxmayaraq,baxmayaraq
5ildirki,5 ildir ki
baxsınlar,baxsınlar
bürcünden,bürcündən
aparatini,aparatını
qoşmurdum,qoşmurdum
melumatli,məlumatlı
zenge,zəngə
et,ət
masinin,maşının
emellere,əməllərə
hereketi,hərəkəti
əmək,əmək
kağızda,kağızda
gəlmişdi,gəlmişdi
çəkirlər,çəkirlər
bildirsin,bildirsin
üzəri,üzəri
elek,ələk
müdürə,müdürə
haqqinda,haqqında
ədv,ədv
sese,səsə
baqaja,baqaja
bogazda,boğazda
qalıb,qalıb
populyar,populyar
ayrılmış,ayrılmış
çıxmalıyam,çıxmalıyam
təəsüf,təəsüf
fitness,fitness
iwdeki,işdəki
saxtakarlara,saxtakarlara
OGLU,oğlu
İsteyirem,istəyirəm
Bizə,bizə
şəklini,şəklini
calisib,çalışıb
pulumla,pulumla
hekimler,həkimlər
hadisədi,hadisədi
beyi,bəyi
dədəmgillə,dədəmgillə
yalvardim,yalvardım
Sizcə,sizcə
panik,panik
ANA,ana
Geci,geci
özümü,özümü
herkese,hərkəsə
qar,qar
cinayət,cinayət
xaricdə,xaricdə
yatanda,yatanda
hazirda,hazırda
Maşınların,maşınların
coxalmaq,coxalmaq
ağladığına,ağladığına
baxir,baxır
baraban,baraban
Utanmaz,utanmaz
həkim,həkim
vakansiya,vakansiya
atamgil,atamgil
qardaşımada,qardaşımada
neynir,neyləyir
işem,işim
qoyubsa,qoyubsa
rəyləri,rəyləri
kartlardan,kartlardan
ishe,işə
biotin,biotin
mələk,mələk
cine,çinə
hərəsi,hərəsi
onları,onları
yazisiriq,yazışırıq
edərsən,edərsən
Ona,ona
anlamışam,anlamışam
Dizelə,dizelə
kasib,kasıb
şirketle,şirkətlə
2011-2013,2011-2013
məktubda,məktubda
zavod,zavod
feministlərdən,feministlərdən
salan,salan
dözdüyüm,dözdüyüm
kəsilib,kəsilib
qaçdilar,qaçdılar
otağımda,otağımda
esdirdi,əsdirdi
gelmek,gəlmək
olmuyan,olmuyan
vecinədi,vecinədi
priblemi,problemi
nəyi,nəyi
Ailədə,ailədə
yaranıb,yaranıb
betər,betər
səyfə,səyfə
Özümnnən,özümnnən
öldüyü,öldüyü
keçirlər,keçirlər
səbəblə,səbəblə
getirmemeyi,gətirməməyi
çılpaq,çılpaq
mazaxist,mazaxist
çəkilməsi,çəkilməsi
araşdırılır,araşdırılır
Travel,Travel
axşama,axşama
Rəvan,Rəvan
getir,gətir
dayandılar,dayandılar
dələduzlar,dələduzlar
Kendin,kəndin
saytlarında,saytlarında
anlaşma,anlaşma
sönər,sönər
popkornlarınızı,popkornlarınızı
he,hə
evindən,evindən
demədik,demədik
alanda,alanda
qızın,qızın
münasibətim,münasibətim
qorxaq,qorxaq
baha,baha
etməyinizi,etməyinizi
ayaqqabi,ayaqqabi
əlavə,əlavə
kiçiydi,kiçiydi
gedəcək,gedəcək
tl,tl
İsleyirem,işləyirəm
vurmusam,vurmuşam
münasibdirmi,münasibdirmi
etdikdan,etdikdən
qaydalarından,qaydalarından
bizdən,bizdən
hallarda,hallarda
niyə,niyə
hirslənər,hirslənər
Taniyan,tanıyan
bezir,bezir
cavabım,cavabım
onemlidir,önəmlidir
Həkimin,həkimin
mənəviyyatçıyam,mənəviyyatçıyam
yorulub,yorulub
Qonşumuz,qonşumuz
ola,olar
oğlanam,oğlanam
uzaqam,uzaqam
anamdan,anamdan
yaşayıb,yaşayıb
diresdi,dirəşdi
paltarlarımıza,paltarlarımıza
çoxunuzda,çoxunuzda
mənimdə,mənimdə
Mənlə,mənlə
dayaqsiz,dayaqsız
biler,bilər
yuxusuz,yuxusuz
arvadi,arvadı
Qohumlarını,qohumlarını
rasxodu,rasxodu
Yeniyetmə,yeniyetmə
Boşan,boşan
Realda,realda
güvənirəm,güvənirəm
harasını,harasını
ifadəsidə,ifadəsi də
yazığı,yazığı
qorxudur,qorxudur
şikayətçi,şikayətçi
qırmızı,qırmızı
karobkasında,karobkasında
İtirəcəyin,itirəcəyin
üzvüleri,üzvləri
satıram,satıram
keçirki,keçir ki
tiplidir,tiplidir
Əsədov,Əsədov
nov,növ
maraqlanırdı,maraqlanırdı
qardaşim,qardaşım
trip,trip
qoyduğunuz,qoyduğunuz
etmemisen,etməmisən
müdürüm,müdürüm
ikimizinde,ikimizində
incitmir,incitmir
olmasına,olmasına
klinikalarin,klinikaların
sagaltmışdı,sagaltmışdı
çatdıracaq,çatdıracaq
saxlamasından,saxlamasından
işimə,işimə
müellimin,müellimin
Deyerek,deyərək
seven,sevən
çatırsa,çatırsa
Yeri,yeri
onlarıda,onlarıda
baglayib,bağlayıb
Fikirləriniz,fikirləriniz
profilin,profilin
demədi,demədi
Kovser,Kövsər
yarimciq,yarımçıq
yazısdıqın,yazışdığın
inansaq,inansaq
gunde,gündə
verdiyimiz,verdiyimiz
həftədir,həftədir
isterdim,istərdim
qucagina,qucağına
çırpıntılarını,çırpıntılarını
meselcun,məsəl üçün
dostlarının,dostlarının
narkotik,narkotik
məşquldur,məşquldur
xeyri,xeyri
qazanırsınız,qazanırsınız
azere,Azərə
nishanlim,nişanlım
razilik,razılıq
utaniram,utanıram
əxlaqsız,əxlaqsız
dostunun,dostunun
icbari,icbari
bibisi,bibisi
Axundov,Axundov
pozmaq,pozmaq
Övladlarım,övladlarım
məsləhətlərdə,məsləhətlərdə
maşşenik,maşşenik
zerercekenler,zərər çəkənlər
lazımdıki,lazımdır ki
Ayrica,ayrıca
bilmirəmmi,bilmirəmmi
etməzdim,etməzdim
herbiye,hərbiyə
bosandigima,boşandığıma
dəyişməyə,dəyişməyə
markalı,markalı
olarsınız,olarsınız
alınır,alınır
oynayardı,oynayardı
qizim,qızım
Mələkləri,mələkləri
ifadə,ifadə
etdirmeyi,etdirməyi
inadımdan,inadımdan
evine,evinə
nəhayət,nəhayət
evlendim,evləndim
nələrdir,nələrdir
Deyib,deyib
Ehtiyat,ehtiyat
müdet,müddət
yerin,yerin
etiketi,etiketi
evləri,evləri
aparırdım,aparırdım
yukseklik,yüksəklik
qachannan,qaçandan
şirkətlər,şirkətlər
Xezri,xəzri
İctimai,ictimai
demişəm,demişəm
Ülvi,Ülvi
Sağ,sağ
içinə,içinə
Mədəni,mədəni
dərim,dərim
avadanlığı,avadanlığı
Boşanan,boşanan
anasidi,anasıdır
xaricə,xaricə
kishisiyem,kişiyəm
minnetdar,minnətdar
gezmeyi,gəzməyi
məşgul,məşğul
Oğlanın,oğlanın
eseblerim,əsəblərim
Mumkunse,mümkünsə
aptek,aptek
sakıt,sakit
özəlliyi,özəlliyi
neler,nələr
heyatım,həyatım
inanım,inanım
calismisam,çalışmışam
içeri,içəri
gah,gah
qebul,qəbul
Odur,odur
Torpaq,torpaq
mühərriyin,mühərrikin
yalnız,yalnız
keçsədə,keçsə də
2005-2009-cu,2005-2009-cu
öldürəcəkləri,öldürəcəkləri
dodağından,dodağından
yalannan,yalandan
beyenmirler,bəyənmirlər
müqayisədə,müqayisədə
postunun,postunun
yüksek,yüksək
qardaşimi,qardaşımı
yaşadığı,yaşadığı
sozume,sözümə
hay,hay
girənnen,girəndən
geyinmək,geyinmək
sizlərin,sizlərin
sağlam,sağlam
kederlenir,kədərlənir
tanıyan,tanıyan
deyirdi,deyirdi
Munasibetde,münasibətdə
qoruyan,qoruyan
Bakıya,Bakıya
heyf,heyf
26yashim,26 yaşım
ayrılıq,ayrılıq
ayri-ayriliqda,ayrı-ayrılıqda
isdəyi,istəyi
Vahid,Vahid
pəncərəsindən,pəncərəsindən
sevindire,sevindirə
cixarıb,çıxarıb
adamlarnan,adamlarla
çoxluq,çoxluq
yıxılırdım,yıxılırdım
deymeze,dəyməzə
Oğlanla,oğlanla
sexsiyyet,şəxsiyyət
elanları,elanları
ananız,ananız
açmışam,açmışam
bagajimi,baqajımı
çekdim,çəkdim
Tərlan,Tərlan
gördüm,gördüm
olmağçün,olmaq üçün
səhifəmizdən,səhifəmizdən
ataya,ataya
yaxınlar,yaxınlar
işləməyə,işləməyə
kifayet,kifayət
Polşada,Polşada
hemin,həmin
ureyinizce,ürəyinizcə
yazanın,yazanın
bilməməyimdir,bilməməyimdir
İçəndə,içəndə
terefinden,tərəfindən
xanımam,xanımam
azından,azından
dinləyəcəkdi,dinləyəcəkdi
əksik,əksik
bəyəmdiyim,bəyəndiyim
istediyi,istədiyi
çatdırım,çatdırım
edilib,edilib
müxtəlifdir,müxtəlifdir
böyrəyim,böyrəyim
istiyip,istəyib
Azərbaycandan,Azərbaycandan
villa,villa
otru,ötrü
Sevmək,sevmək
yaxinlasaraq,yaxınlaşaraq
moskvada,Moskvada
yetismelerinde,yetişmələrində
saxlayirdilar,saxlayırdılar
məhləmizdə,məhəlləmizdə
zamanlardan,zamanlardan
anami,anamı
ehtiyacın,ehtiyacın
gözləmirdim,gözləmirdim
ishleyim,işləyim
seminarda,seminarda
Amerika,Amerika
göndərdim,göndərdim
çıxana,çıxana
gecəni,gecəni
ətir,ətir
aldılar,aldılar
alinmiş,alınmış
deleduzlari,dələduzları
gözü,gözü
eşidilə,eşidilə
etmiyim,etməyim
aprelinde,aprelində
manatin,manatın
düşünüblər,düşünüblər
sabah,sabah
qorxusu,qorxusu
de,de
kababçidi,kababçı
şikayetleri,şikayətləri
Ərim,ərim
dusduk,düşdük
Herşeyi,hər şeyi
İçən,içən
pulun,pulun
gezdirir,gəzdirir
apreldə,apreldə
gorduyum,gördüyüm
çıxacağam,çıxacağam
get-gedə,get-gedə
çəkə-çəkə,çəkə-çəkə
yazmışam,yazmışam
olasıdıki,olasıdır ki
belələrinə,belələrinə
atıblar,atıblar
darıxır,darıxır
ordaki,oradaki
ınsanlar,insanlar
Zamanla,zamanla
uzatmaq,uzatmaq
fobiyalarim,fobiyalarım
necədi,necədir
kitabın,kitabın
getirmishemse,gətirmişəmsə
kaş,kaş
basim,başım
secilib,seçilib
almaqa,almağa
uşağıdı,uşağıdır
yağanda,yağanda
məsum,məsum
səbəbin,səbəbin
dunyanin,dünyanın
Aldanmayin,aldanmayın
Yaxınlıq,yaxınlıq
uzunmüddətli,uzunmüddətli
təzyiqini,təzyiqini
sebeb,səbəb
taniwimnan,tanışımdan
deyilmiş,deyilmiş
yaxındı,yaxındır
içməyini,içməyini
psixioloq,psixoloq
qərarını,qərarını
evdəkilərindən,evdəkilərindən
isletmesinler,işlətməsinlər
valideyinimi,valideynimi
kreditə,kreditə
Damarınıza,damarınıza
Başqa,başqa
psixologiyamı,psixologiyamı
evlənməmişəmsə,evlənməmişəmsə
olmaq,olmaq
2010-2012,2010-2012
demisem,demişəm
silsilə,silsilə
qoymadi,qoymadı
biznesi,biznesi
bilərdim,bilərdim
Şərəfli,şərəfli
istərkən,istərkən
cekmeyesiz,çəkməyəsiniz
Bilirəmki,bilirəm ki
marağı,marağı
Manim,Mənim
deyərdim,deyərdim
Soltanov,Soltanov
gipsdədi,gipsdədir
qrupuna,qrupuna
qurbanı,qurbanı
ölümlərinə,ölümlərinə
İmkanım,imkanım
mərkəzlərinə,mərkəzlərinə
sizlərdən,sizlərdən
bahali,bahalı
dövlətin,dövlətin
mədənyətini,mədəniyyətini
hansidir,hansıdır
demişdi,demişdi
etdiklərini,etdiklərini
Niva,Niva
qabağıma,qabağıma
amazon,amazon
dostlar,dostlar
mərhələlərindəki,mərhələlərindəki
müavini,müavini
yətanıdığım,tanıdığım
2ay,2 ay
qayidim,qayıdım
gozlerim,gözlərim
modeleri,modelləri
azercellde,azercelldə
azərbaycanlı,azərbaycanlı
muselmanchiliq,müsəlmançılıq
əvvəl,əvvəl
evlanmak,evlənmək
sevməkdə,sevmək də
qızında,qızın da
Cixmasan,çıxmasan
Asim,Asim
clxmaqa,çıxmağa
əsəbimi,əsəbimi
utanmırsan,utanmırsan
heyatta,həyatda
heyvanlara,heyvanlara
yaxinlarda,yaxınlarda
avtobusa,avtobusa
sevdiyi,sevdiyi
adamım,adamım
daşıyasan,daşıyasan
nəvar,nə var
dagidan,dağıdan
menki,mən ki
sığınacaq,sığınacaq
Dostumu,dostumu
qardaşıdı,qardaşıdır
xalası,xalası
heder,hədər
məşğuldu,məşğuldur
ayinin,ayının
planlaşdırıram,planlaşdırıram
çatmişam,çatmışam
deyirdim,deyirdim
sence,səncə
olmurdu,olmurdu
veziyyet,vəziyyət
düşünceli,düşüncəli
təpəsi,təpəsi
iwlemiwem,işləmişəm
axtaris,axtarış
tezyiqi,təzyiqi
gülmüşdük,gülmüşdük
inkar,inkar
hissəsində,hissəsində
olduğumun,olduğumun
gelirdim,gəlirdim
qab,qab
Xəlilli,Xəlilli
emeliyyatlarla,əməliyyatlarla
paylasdiki,paylaşdı ki
Camry,Camry
Fikrimce,fikrimcə
ancag,ancaq
bagırsaqlarda,bağırsaqlarda
fikrimcə,fikrimcə
agah,agah
16-sı,16-sı
fikirlərdə,fikirlərdə
yazıram,yazıram
Adimi,adımı
paylaşılarsa,paylaşılarsa
dedin,dedin
yayır,yayır
Həftədə,həftədə
rahatdır,rahatdır
fikirləşdiyim,fikirləşdiyim
material,material
başqasıdır,başqasıdır
etmeniz,etməniz
Kassam,kassam
qatırdılar,qatırdılar
temperatur,temperatur
mecbur,məcbur
qat,qat
natarusla,notariusla
çalışmaq,çalışmaq
