,text,label,prediction,distance,org
8914,miqdarı,miqdarı,miqdarı,0.0,0.0
23898,rusdu,rusdur,rusdu,1.0,1.0
844,yarimciq,yarımçıq,yarımçıq,0.0,3.0
5698,vursaydi,vursaydı,vursaydi,1.0,1.0
24088,Mecelleden,məcəllədən,məcəllədən,0.0,5.0
8808,adminn,admin,admin,0.0,1.0
40262,mellumat,məlumat,məlulama,3.0,2.0
9877,açıqlayacaq,açıqlayacaq,açıqlayacaq,0.0,0.0
18915,kmi,kimi,kmi,1.0,1.0
10996,göndersinler,göndərsinlər,göndersinler,2.0,2.0
8712,ehtiyacimiz,ehtiyacımız,ehtiyacımız,0.0,2.0
39482,danışıqdı,danışıqdır,danışıqdı,1.0,1.0
16847,vəzifələr,vəzifələr,vəzifələr,0.0,0.0
6230,xüsusiyyətləri,xüsusiyyətləri,xüsusiyyətləri,0.0,0.0
16911,Videodu,videodur,videodur,0.0,2.0
3188,boş-boş,boş-boş,boş-boş,0.0,0.0
25865,baxışların,baxışların,baxışların,0.0,0.0
38770,Grub,görüb,Grub,3.0,3.0
2479,Meditasiyayla,meditasiyayla,Meditasiyayla,1.0,1.0
12259,nəşrindən,nəşrindən,nəşrindən,0.0,0.0
11432,omonimlər,omonimlər,omonimlər,0.0,0.0
12857,Səliqəlidir,səliqəlidir,səliqəlidir,0.0,1.0
43523,istəməsini,istəməsini,istəməsini,0.0,0.0
6587,atam,posta,atam,4.0,4.0
655,baqaja,baqaja,baqaja,0.0,0.0
1785,gördük,gördük,gördük,0.0,0.0
28721,çatdıra,çatdıra,çatdıra,0.0,0.0
1463,diqqətmi,diqqətimi,diqqətim,1.0,1.0
15857,artıqdı,artıqdır,artıqdı,1.0,1.0
25011,Tekce,təkçə,təkcə,1.0,4.0
40341,Haminiza,hamınıza,hamınıza,0.0,3.0
17847,dəqiqləşdirim,dəqiqləşdirim,dəqiqləşdirim,0.0,0.0
22783,tapdaladın,tapdaladın,tapdaladın,0.0,0.0
38487,Dəyişə,dəyişə,dəyişə,0.0,1.0
9130,texnikuma,texnikuma,texnikuma,0.0,0.0
7168,tamamlıq,tamamlıq,tamamlıq,0.0,0.0
17195,İcra,icra,icra,0.0,1.0
27469,biter,bitər,biter,1.0,1.0
9273,yanlnda,yanında,yanlnda,1.0,1.0
6803,söznən,söznən,söznən,0.0,0.0
808,qorxudur,qorxudur,qorxudur,0.0,0.0
23334,önünü,önünü,önünü,0.0,0.0
32805,dolu,dolu,dolu,0.0,0.0
41073,biosunda,biosunda,biosunda,0.0,0.0
26523,bacardığım,bacardığım,bacardığım,0.0,0.0
27694,gələcəyimçün,gələcəyim üçün,gələcəyimçün,2.0,2.0
27288,olam,olam,olam,0.0,0.0
17953,fergini,fərqini,fergini,2.0,2.0
16892,Gejen,gecən,Gejen,3.0,3.0
6141,düşünməmək,düşünməmək,düşünməmək,0.0,0.0
41434,deməli,deməli,deməli,0.0,0.0
25426,sistemlə,sistemlə,sistemlə,0.0,0.0
30589,etmədən,etmədən,etmədən,0.0,0.0
37833,abtomat,avtomat,abtomat,1.0,1.0
17267,məsələlərdə,məsələlərdə,məsələlərdə,0.0,0.0
11159,auditoriyaya,auditoriyaya,auditoriyaya,0.0,0.0
18058,baslamisdi,başlamışdı,baslamisdi,4.0,4.0
41833,arzum,arzum,arzum,0.0,0.0
5953,atdi,atdı,atdı,0.0,1.0
5701,Sumqayıt,Sumqayıt,Sumqayıt,0.0,0.0
12797,Yoxx,yox,yox,0.0,2.0
196,önəmsəmir,önəmsəmir,önəmsəmir,0.0,0.0
17155,masinlardi,maşınlardır,maşınlardır,0.0,4.0
28230,maşinim,maşınım,maşınım,0.0,2.0
33916,görmuşuk,görmüşük,görmüşük,0.0,2.0
39138,yükləməyə,yükləməyə,yükləməyə,0.0,0.0
29364,dayisi,dayısı,dayışı,1.0,2.0
3733,arxamca,arxamca,arxamca,0.0,0.0
37685,Həyatda,həyatda,həyatda,0.0,1.0
27640,heçmi,heçmi,heçmi,0.0,0.0
22642,cawarsiz,çaşarsınız,cawarsiz,5.0,5.0
39342,sabitliyə,sabitliyə,sabitliyə,0.0,0.0
12010,Satılir,satılır,satılır,0.0,2.0
3750,boşadılar,boşadılar,boşadılar,0.0,0.0
12704,əziyyətinə,əziyyətinə,əziyyətinə,0.0,0.0
35317,götürmüşdüm,götürmüşdüm,götürmüşdüm,0.0,0.0
6407,xosum,xoşum,xoşum,0.0,1.0
7853,Bakıxanov,Bakıxanov,Bakıxanov,0.0,0.0
121,yoldaşlarımla,yoldaşlarımla,yoldaşlarımla,0.0,0.0
35645,inşəAllah,inşəAllah,inşəAllah,0.0,0.0
20940,sagdada,sağda da,sağda da,0.0,2.0
2235,bacarmayan,bacarmayan,bacarmayan,0.0,0.0
39148,qabaginda,qabağında,qabağında,0.0,2.0
15183,emeliyyatlari,əməliyyatları,emeliyyatlari,3.0,3.0
16042,planlarla,planlarla,planlarla,0.0,0.0
10989,yollarda,yollarda,yollarda,0.0,0.0
40366,SİZƏ,sizə,sizə,0.0,4.0
30400,sakir,sakit,sakir,1.0,1.0
19905,Sfetafor,svetafor,Sfetafor,2.0,2.0
18688,Gedək,gedək,gedək,0.0,1.0
8175,dərslərinə,dərslərinə,dərslərinə,0.0,0.0
19974,Qohumum,qohumum,qohumum,0.0,1.0
25448,seçmi,seçimi,seçmi,1.0,1.0
1144,heyvanlara,heyvanlara,heyvanlara,0.0,0.0
41544,Adına,adına,adına,0.0,1.0
36164,özümden,özümdən,özümdən,0.0,1.0
37977,atblar,atıblar,atblar,1.0,1.0
41843,neçənci,neçənci,neçənci,0.0,0.0
27005,işlək,işlək,işlək,0.0,0.0
19300,gözdüyürük,gözləyirik,gözdüyürük,4.0,4.0
43009,danishirdilar,danışırdılar,danışırdılar,0.0,5.0
11938,Üstündə,üstündə,üstündə,0.0,1.0
11713,braxilis,buraxılış,braxilis,4.0,4.0
34664,seviyede,səviyyədə,səviyyədə,0.0,4.0
21876,Kecirdir,keçirdir,keçirdir,0.0,2.0
1646,lokbatan,Lökbatan,lokbatan,2.0,2.0
44271,xoşluqla,xoşluqla,xoşluqla,0.0,0.0
41059,Varm,varmı,Varm,2.0,2.0
1000,istediyi,istədiyi,istədiyi,0.0,1.0
31824,sil,sil,sil,0.0,0.0
41946,elədi,elədi,elədir,1.0,0.0
36381,kecirdiyim,keçirtdiyim,keçirdiyim,1.0,2.0
665,OGLU,oğlu,OGLU,4.0,4.0
34364,acaba,acaba,acaba,0.0,0.0
8419,soyadımı,soyadımı,soyadımı,0.0,0.0
115,çoxunuzun,çoxunuzun,çoxunuzun,0.0,0.0
27143,şampundan,şampundan,şampundan,0.0,0.0
20721,etdirək,etdirək,etdirək,0.0,0.0
32431,imtahini,imtahını,imtahanı,1.0,2.0
32460,seçməlisiz,seçməlisiz,seçməlisiniz,2.0,0.0
3435,vermeye,verməyə,verməyə,0.0,2.0
33019,baxşəlilinin,Baxşəlinin,baxşəlilinin,3.0,3.0
19166,2017də,2017-də,2017də,1.0,1.0
32863,Adıgözəlli,Adıgözəlli,Adıgözəlli,0.0,0.0
29994,Azərbaycanda,Azərbaycanda,Azərbaycanda,0.0,0.0
30677,dələduz,dələduz,dələduz,0.0,0.0
12833,deyilənlərə,deyilənlərə,deyilənlərə,0.0,0.0
16346,dondurulub,dondurulub,dondurulub,0.0,0.0
17209,satarken,satarkən,satarkən,0.0,1.0
41481,güvənərək,güvənərək,güvənərək,0.0,0.0
9209,cavablandırardız,cavablandırardız,cavablandırardız,0.0,0.0
37488,Bilmirəme,bilmirəm,bilmirəm,0.0,2.0
30557,Düşüncələriniz,düşüncələriniz,Düşüncələriniz,1.0,1.0
25080,tibb,tibb,tibb,0.0,0.0
8381,kompdan,kompüterdən,kompdan,5.0,5.0
38295,kompyuterden,kompüterdən,kompyuterden,3.0,3.0
14074,Narmin,Nərmin,Narmin,1.0,1.0
16910,birondə,birində,birondə,1.0,1.0
19899,Rəqəmlər,rəqəmlər,rəqəmlər,0.0,1.0
28544,yerə,yerə,yerə,0.0,0.0
21612,subutlarla,sübutlarla,subutlarla,1.0,1.0
8389,Kullanıcı,kullanıcı,kullanıcı,0.0,1.0
7194,6da,6-da,6 da,1.0,1.0
8930,qabiliyetin,qabiliyətin,qabiliyetin,1.0,1.0
43627,Onlardada,onlardada,onlarda da,1.0,1.0
1292,Diqqətlə,diqqətlə,diqqətlə,0.0,1.0
18527,piayada,piyada,piayada,1.0,1.0
4345,mükəmməldir,mükəmməldir,mükəmməldir,0.0,0.0
32987,Pls,pis,pis,0.0,2.0
28420,hallandı,hallandı,hallandı,0.0,0.0
38254,paylasmisdi,paylaşmışdı,paylasmisdi,4.0,4.0
36265,heyatımı,həyatımı,həyatımı,0.0,1.0
29563,kimseye,kimsəyə,kimsəyə,0.0,2.0
30665,telefondan,telefondan,telefondan,0.0,0.0
35195,ataram,ataram,ataram,0.0,0.0
44480,hadisə,hadisə,hadisə,0.0,0.0
29846,olduğundan,olduğundan,olduğundan,0.0,0.0
7570,bilerəm,bilərəm,bilərəm,0.0,1.0
11343,HƏNDƏSİ,həndisi,həndəsi,1.0,7.0
27597,iyinden,iyindən,iyindən,0.0,1.0
18096,seneki,sənə ki,seneki,3.0,3.0
34333,Almışam,almışam,almışam,0.0,1.0
36031,edirdimdə,edirdim də,edirdim də,0.0,1.0
18244,Mehdudiyetli,məhdudiyyətli,Mehdudiyetli,4.0,4.0
23612,Qafar,Qafar,Qafar,0.0,0.0
12763,qayda,qayda,qayda,0.0,0.0
23103,arxadakina,arxadakına,arxadakına,0.0,1.0
36037,kəpənəklər,kəpənəklər,kəpənəklər,0.0,0.0
34398,PDF-i,pdf-i,pdf-i,0.0,3.0
25978,etdirirem,etdirirəm,etdirirəm,0.0,1.0
41117,Buraxılışda,buraxılışda,buraxılışda,0.0,1.0
2410,meslehete,məsləhətə,məsləhətə,0.0,4.0
34572,Diskləri,diskləri,diskləri,0.0,1.0
22508,maneye,maneə,maneye,2.0,2.0
25950,otaqlı,otaqlı,otaqlı,0.0,0.0
18796,tekrarlamagi,təkrarlamağı,tekrarlamagi,3.0,3.0
35876,Əvvəlcə,əvvəlcə,əvvəlcə,0.0,1.0
36326,etməliyik,etməliyik,etməliyik,0.0,0.0
26203,muzeyə,muzeyə,müzəyə,2.0,0.0
32253,mətinləri,mətinləri,mətinləri,0.0,0.0
39936,ədəbiyyatın,ədəbiyyatın,ədəbiyyatın,0.0,0.0
13654,güzeşt,güzəşt,güzeşt,1.0,1.0
26004,alinmir,alınmır,alınmır,0.0,2.0
3423,hevesimde,həvəsimdə,hevesimde,3.0,3.0
43399,görmüsünüz,görmüsünüz,görmüsünüz,0.0,0.0
43869,bütöv,bütöv,bütöv,0.0,0.0
4502,sektordu,sektordu,sektordu,0.0,0.0
42247,Oğru,oğru,Oğru,1.0,1.0
29122,eshidirdik,eşidirik,eshidirdik,3.0,3.0
